Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Myanmar,Asia,54446389.0,122290.0,2246.0,7.0,0.1,534.3934426229508
Mauritius,Africa,1271985.0,205285.0,161389.0,270.0,8.0,534.3934426229508
Isle of Man,Europe,85078.0,8627.0,101401.0,3949.0,282.0,534.3934426229508
Mongolia,Asia,3283344.0,38334.0,11675.0,89.0,98.68117647058824,1.0
Eritrea,Africa,3551175.0,1402404.7015706806,83959.3664921466,79.0,98.68117647058824,534.3934426229508
Guadeloupe,North America,400131.0,18476.0,46175.0,697.0,35.0,534.3934426229508
Martinique,North America,375235.0,12227.0,32585.0,736.0,40.0,1.0
Faeroe Islands,Europe,48882.0,43045.0,880590.0,5442.0,98.68117647058824,1.0
Aruba,North America,106812.0,14047.0,131511.0,2462.0,28.0,534.3934426229508
Cambodia,Asia,16741375.0,67807.0,4050.0,15.0,98.68117647058824,1.0
Trinidad and Tobago,North America,1399950.0,9559.0,6828.0,150.0,6.0,534.3934426229508
Cayman Islands,North America,65798.0,31108.0,472780.0,3085.0,15.0,534.3934426229508
Gibraltar,Europe,33690.0,23063.0,684565.0,5640.0,98.68117647058824,534.3934426229508
Papua New Guinea,Australia/Oceania,8963009.0,10808.0,1206.0,18.0,0.3,534.3934426229508
Sint Maarten,North America,42924.0,1115.0,25976.0,3728.0,373.0,3.0
Bermuda,North America,62254.0,26352.0,423298.0,2522.0,145.0,534.3934426229508
Brunei ,Asia,437893.0,41148.0,93968.0,322.0,7.0,534.3934426229508
Barbados,North America,287411.0,12233.0,42563.0,463.0,24.0,534.3934426229508
Turks and Caicos,North America,38768.0,1252.0,32295.0,3327.0,52.0,3.0
Seychelles,Africa,98408.0,1402404.7015706806,83959.3664921466,1280.0,98.68117647058824,534.3934426229508
Monaco,Europe,39270.0,38209.0,972982.0,3183.0,102.0,2.0
Bhutan,Asia,772443.0,54589.0,70671.0,136.0,98.68117647058824,534.3934426229508
Antigua and Barbuda,North America,98010.0,1500.0,15305.0,939.0,31.0,1.0
Liechtenstein,Europe,38139.0,900.0,23598.0,2334.0,26.0,534.3934426229508
Belize,North America,398312.0,3679.0,9236.0,216.0,5.0,2.0
French Polynesia,Australia/Oceania,281072.0,5849.0,20810.0,228.0,98.68117647058824,534.3934426229508
St. Vincent Grenadines,North America,110976.0,2447.0,22050.0,505.0,98.68117647058824,534.3934426229508
Saint Martin,North America,38729.0,1183.0,30546.0,1368.0,77.0,1.0
Macao,Asia,650193.0,4071.0,6261.0,71.0,98.68117647058824,534.3934426229508
Curaçao,North America,164161.0,1080.0,6579.0,189.0,6.0,534.3934426229508
Fiji,Australia/Oceania,897095.0,6693.0,7461.0,30.0,1.0,534.3934426229508
Saint Lucia,North America,183712.0,3895.0,21202.0,136.0,98.68117647058824,534.3934426229508
Timor-Leste,Asia,1320812.0,4238.0,3209.0,19.0,98.68117647058824,534.3934426229508
Grenada,North America,112576.0,6252.0,55536.0,213.0,98.68117647058824,534.3934426229508
New Caledonia,Australia/Oceania,285769.0,11099.0,38839.0,77.0,98.68117647058824,534.3934426229508
Laos,Asia,7285750.0,29374.0,4032.0,3.0,98.68117647058824,534.3934426229508
Dominica,North America,72004.0,1005.0,13958.0,250.0,98.68117647058824,534.3934426229508
Saint Kitts and Nevis,North America,53237.0,1146.0,21526.0,319.0,98.68117647058824,534.3934426229508
Greenland,North America,56780.0,5977.0,105266.0,247.0,98.68117647058824,534.3934426229508
Montserrat,North America,4992.0,61.0,12220.0,2604.0,200.0,534.3934426229508
Caribbean Netherlands,North America,26247.0,424.0,16154.0,495.0,98.68117647058824,534.3934426229508
Falkland Islands,South America,3489.0,1816.0,520493.0,3726.0,98.68117647058824,534.3934426229508
Vatican City,Europe,801.0,1402404.7015706806,83959.3664921466,14981.0,98.68117647058824,534.3934426229508
Western Sahara,Africa,598682.0,1402404.7015706806,83959.3664921466,17.0,2.0,534.3934426229508
