Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Finland,Europe,5541604.0,389500.0,70287.0,1359.0,60.0,534.3934426229508
Zambia,Africa,18430129.0,90307.0,4900.0,389.0,11.0,534.3934426229508
Luxembourg,Europe,626952.0,623994.0,995282.0,11282.0,190.0,9.0
Mauritania,Africa,4660728.0,57387.0,12313.0,1383.0,34.0,3.0
Paraguay,South America,7141091.0,135277.0,18943.0,893.0,9.0,23.0
Albania,Europe,2877470.0,38997.0,13553.0,2091.0,65.0,23.0
Lebanon,Asia,6822220.0,345268.0,50609.0,831.0,10.0,46.0
Croatia,Europe,4102577.0,125317.0,30546.0,1317.0,38.0,7.0
Djibouti,Africa,989387.0,59909.0,60552.0,5387.0,60.0,534.3934426229508
Greece,Europe,10417673.0,619393.0,59456.0,492.0,20.0,14.0
Libya,Africa,6880353.0,59699.0,8677.0,709.0,16.0,534.3934426229508
Equatorial Guinea,Africa,1407001.0,44356.0,31525.0,3426.0,59.0,534.3934426229508
Maldives,Asia,541448.0,85587.0,158071.0,8643.0,35.0,12.0
CAR,Africa,4837752.0,29589.0,6116.0,955.0,12.0,2.0
Hungary,Europe,9657785.0,352546.0,36504.0,476.0,62.0,8.0
Malawi,Africa,19174839.0,33466.0,1745.0,234.0,7.0,4.0
Zimbabwe,Africa,14883803.0,140421.0,9434.0,292.0,6.0,534.3934426229508
Nicaragua,North America,6632263.0,1402404.7015706806,83959.3664921466,588.0,19.0,534.3934426229508
Hong Kong,Asia,7503041.0,692430.0,92287.0,513.0,6.0,39.0
Congo,Africa,5530506.0,1402404.7015706806,83959.3664921466,641.0,10.0,534.3934426229508
Montenegro,Europe,628074.0,38427.0,61182.0,5541.0,96.0,534.3934426229508
Thailand,Asia,69817894.0,749213.0,10731.0,48.0,0.8,1.0
Somalia,Africa,15933012.0,1402404.7015706806,83959.3664921466,203.0,6.0,2.0
Mayotte,Africa,273419.0,13000.0,47546.0,11126.0,143.0,2.0
Eswatini,Africa,1161348.0,20784.0,17896.0,2556.0,47.0,5.0
Sri Lanka,Asia,21422362.0,166737.0,7783.0,133.0,0.5,1.0
Cuba,North America,11325899.0,285471.0,25205.0,245.0,8.0,4.0
Cabo Verde,Africa,556581.0,61633.0,110735.0,4912.0,49.0,534.3934426229508
Namibia,Africa,2545264.0,29233.0,11485.0,1042.0,6.0,24.0
Mali,Africa,20302901.0,25152.0,1239.0,126.0,6.0,534.3934426229508
Slovakia,Europe,5459915.0,272322.0,49877.0,454.0,5.0,2.0
South Sudan,Africa,11206572.0,12044.0,1075.0,219.0,4.0,534.3934426229508
Slovenia,Europe,2078968.0,135702.0,65274.0,1069.0,60.0,2.0
Lithuania,Europe,2718121.0,540784.0,198955.0,799.0,30.0,6.0
Estonia,Europe,1326627.0,122880.0,92626.0,1601.0,47.0,534.3934426229508
Mozambique,Africa,31333962.0,65151.0,2079.0,68.0,0.5,534.3934426229508
Rwanda,Africa,12981546.0,286251.0,22051.0,163.0,0.4,534.3934426229508
