country,country_code,date,cumulative_vaccinations,daily_vaccinations
Belarus,BLR,2022-04-17,12144023.0,365845.0
Belarus,BLR,2022-04-24,12345274.0,201251.0
Belarus,BLR,2022-05-01,12495345.0,150071.0
Belarus,BLR,2022-05-15,12807687.0,312342.0
Belarus,BLR,2022-05-29,13054679.0,246992.0
Belarus,BLR,2022-06-05,13106084.0,51405.0
Belarus,BLR,2022-06-19,13206203.0,100119.0
Belarus,BLR,2022-07-10,13394906.0,188703.0
Belarus,BLR,2022-07-31,13981294.0,586388.0
Belarus,BLR,2022-08-21,14916985.0,935691.0
Belarus,BLR,2022-09-04,15177629.0,260644.0
Belarus,BLR,2022-09-18,15582410.0,404781.0
Belarus,BLR,2022-09-25,15754625.0,172215.0
Belarus,BLR,2022-10-16,16102869.0,348244.0
Belarus,BLR,2022-10-30,16326173.0,223304.0
Belarus,BLR,2022-11-20,16797552.0,471379.0
Belarus,BLR,2022-12-04,17358736.0,561184.0
Belarus,BLR,2023-01-08,18630188.0,1271452.0
Belarus,BLR,2023-01-22,18871846.0,241658.0
Belarus,BLR,2023-01-29,19047714.0,175868.0
Belarus,BLR,2023-02-05,19287182.0,239468.0
Belarus,BLR,2023-04-16,21205264.0,1918082.0
Belarus,BLR,2023-05-14,21997704.0,792440.0
Belarus,BLR,2023-08-13,22476400.0,478696.0
Belarus,BLR,2023-09-03,22511000.0,34600.0
Belarus,BLR,2023-12-23,22765402.0,254402.0
Belgium,BEL,2020-12-28,335.0,0.0
Belgium,BEL,2020-12-29,362.0,27.0
Belgium,BEL,2020-12-30,880.0,518.0
Belgium,BEL,2020-12-31,926.0,46.0
Belgium,BEL,2021-01-01,943.0,17.0
Belgium,BEL,2021-01-02,953.0,10.0
Belgium,BEL,2021-01-03,985.0,32.0
Belgium,BEL,2021-01-04,1027.0,42.0
Belgium,BEL,2021-01-05,2785.0,1758.0
Belgium,BEL,2021-01-06,6778.0,3993.0
Belgium,BEL,2021-01-07,15264.0,8486.0
Belgium,BEL,2021-01-08,24632.0,9368.0
Belgium,BEL,2021-01-09,27909.0,3277.0
Belgium,BEL,2021-01-10,28400.0,491.0
Belgium,BEL,2021-01-11,34130.0,5730.0
Belgium,BEL,2021-01-12,50208.0,16078.0
Belgium,BEL,2021-01-13,72038.0,21830.0
Belgium,BEL,2021-01-14,95602.0,23564.0
Belgium,BEL,2021-01-15,119302.0,23700.0
Belgium,BEL,2021-01-16,124544.0,5242.0
Belgium,BEL,2021-01-17,127845.0,3301.0
Belgium,BEL,2021-01-18,139139.0,11294.0
Belgium,BEL,2021-01-19,158609.0,19470.0
Belgium,BEL,2021-01-20,180359.0,21750.0
Belgium,BEL,2021-01-21,210768.0,30409.0
Belgium,BEL,2021-01-22,240980.0,30212.0
Belgium,BEL,2021-01-23,249509.0,8529.0
Belgium,BEL,2021-01-24,251459.0,1950.0
Belgium,BEL,2021-01-25,262918.0,11459.0
Belgium,BEL,2021-01-26,275904.0,12986.0
Belgium,BEL,2021-01-27,292742.0,16838.0
Belgium,BEL,2021-01-28,316785.0,24043.0
Belgium,BEL,2021-01-29,338584.0,21799.0
Belgium,BEL,2021-01-30,343157.0,4573.0
Belgium,BEL,2021-01-31,344162.0,1005.0
Belgium,BEL,2021-02-01,352168.0,8006.0
Belgium,BEL,2021-02-02,376965.0,24797.0
Belgium,BEL,2021-02-03,408116.0,31151.0
Belgium,BEL,2021-02-04,442728.0,34612.0
Belgium,BEL,2021-02-05,473968.0,31240.0
Belgium,BEL,2021-02-06,480559.0,6591.0
Belgium,BEL,2021-02-07,484004.0,3445.0
Belgium,BEL,2021-02-08,494335.0,10331.0
Belgium,BEL,2021-02-09,522512.0,28177.0
Belgium,BEL,2021-02-10,548402.0,25890.0
Belgium,BEL,2021-02-11,585186.0,36784.0
Belgium,BEL,2021-02-12,620437.0,35251.0
Belgium,BEL,2021-02-13,629275.0,8838.0
Belgium,BEL,2021-02-14,631322.0,2047.0
Belgium,BEL,2021-02-15,645347.0,14025.0
Belgium,BEL,2021-02-16,660533.0,15186.0
Belgium,BEL,2021-02-17,680842.0,20309.0
Belgium,BEL,2021-02-18,709062.0,28220.0
Belgium,BEL,2021-02-19,740632.0,31570.0
Belgium,BEL,2021-02-20,746751.0,6119.0
Belgium,BEL,2021-02-21,749028.0,2277.0
Belgium,BEL,2021-02-22,761986.0,12958.0
Belgium,BEL,2021-02-23,782426.0,20440.0
Belgium,BEL,2021-02-24,805952.0,23526.0
Belgium,BEL,2021-02-25,838277.0,32325.0
Belgium,BEL,2021-02-26,870743.0,32466.0
Belgium,BEL,2021-02-27,875299.0,4556.0
Belgium,BEL,2021-02-28,876220.0,921.0
Belgium,BEL,2021-03-01,890087.0,13867.0
Belgium,BEL,2021-03-02,914124.0,24037.0
Belgium,BEL,2021-03-03,944750.0,30626.0
Belgium,BEL,2021-03-04,995198.0,50448.0
Belgium,BEL,2021-03-05,1040718.0,45520.0
Belgium,BEL,2021-03-06,1049187.0,8469.0
Belgium,BEL,2021-03-07,1050794.0,1607.0
Belgium,BEL,2021-03-08,1068446.0,17652.0
Belgium,BEL,2021-03-09,1097765.0,29319.0
Belgium,BEL,2021-03-10,1134278.0,36513.0
Belgium,BEL,2021-03-11,1189033.0,54755.0
Belgium,BEL,2021-03-12,1234591.0,45558.0
Belgium,BEL,2021-03-13,1244675.0,10084.0
Belgium,BEL,2021-03-14,1246287.0,1612.0
Belgium,BEL,2021-03-15,1277371.0,31084.0
Belgium,BEL,2021-03-16,1324541.0,47170.0
Belgium,BEL,2021-03-17,1372584.0,48043.0
Belgium,BEL,2021-03-18,1448388.0,75804.0
Belgium,BEL,2021-03-19,1516761.0,68373.0
Belgium,BEL,2021-03-20,1539322.0,22561.0
Belgium,BEL,2021-03-21,1540427.0,1105.0
Belgium,BEL,2021-03-22,1573653.0,33226.0
Belgium,BEL,2021-03-23,1622120.0,48467.0
Belgium,BEL,2021-03-24,1684394.0,62274.0
Belgium,BEL,2021-03-25,1764251.0,79857.0
Belgium,BEL,2021-03-26,1834978.0,70727.0
Belgium,BEL,2021-03-27,1857764.0,22786.0
Belgium,BEL,2021-03-28,1860384.0,2620.0
Belgium,BEL,2021-03-29,1884493.0,24109.0
Belgium,BEL,2021-03-30,1917117.0,32624.0
Belgium,BEL,2021-03-31,2002558.0,85441.0
Belgium,BEL,2021-04-01,2105022.0,102464.0
Belgium,BEL,2021-04-02,2187874.0,82852.0
Belgium,BEL,2021-04-03,2209005.0,21131.0
Belgium,BEL,2021-04-04,2209336.0,331.0
Belgium,BEL,2021-04-05,2224298.0,14962.0
Belgium,BEL,2021-04-06,2271645.0,47347.0
Belgium,BEL,2021-04-07,2319908.0,48263.0
Belgium,BEL,2021-04-08,2447791.0,127883.0
Belgium,BEL,2021-04-09,2583690.0,135899.0
Belgium,BEL,2021-04-10,2652793.0,69103.0
Belgium,BEL,2021-04-11,2656945.0,4152.0
Belgium,BEL,2021-04-12,2706169.0,49224.0
Belgium,BEL,2021-04-13,2779138.0,72969.0
Belgium,BEL,2021-04-14,2880506.0,101368.0
Belgium,BEL,2021-04-15,2992902.0,112396.0
Belgium,BEL,2021-04-16,3087505.0,94603.0
Belgium,BEL,2021-04-17,3145976.0,58471.0
Belgium,BEL,2021-04-18,3152251.0,6275.0
Belgium,BEL,2021-04-19,3213888.0,61637.0
Belgium,BEL,2021-04-20,3264719.0,50831.0
Belgium,BEL,2021-04-21,3357383.0,92664.0
Belgium,BEL,2021-04-22,3454545.0,97162.0
Belgium,BEL,2021-04-23,3527244.0,72699.0
Belgium,BEL,2021-04-24,3573964.0,46720.0
Belgium,BEL,2021-04-25,3580516.0,6552.0
Belgium,BEL,2021-04-26,3644434.0,63918.0
Belgium,BEL,2021-04-27,3698069.0,53635.0
Belgium,BEL,2021-04-28,3793413.0,95344.0
Belgium,BEL,2021-04-29,3900555.0,107142.0
Belgium,BEL,2021-04-30,3983573.0,83018.0
Belgium,BEL,2021-05-01,4031367.0,47794.0
Belgium,BEL,2021-05-02,4035282.0,3915.0
Belgium,BEL,2021-05-03,4114766.0,79484.0
Belgium,BEL,2021-05-04,4198791.0,84025.0
Belgium,BEL,2021-05-05,4354599.0,155808.0
Belgium,BEL,2021-05-06,4517391.0,162792.0
Belgium,BEL,2021-05-07,4673934.0,156543.0
Belgium,BEL,2021-05-08,4764930.0,90996.0
Belgium,BEL,2021-05-09,4773210.0,8280.0
Belgium,BEL,2021-05-10,4857615.0,84405.0
Belgium,BEL,2021-05-11,4927207.0,69592.0
Belgium,BEL,2021-05-12,5021255.0,94048.0
Belgium,BEL,2021-05-13,5140933.0,119678.0
Belgium,BEL,2021-05-14,5287251.0,146318.0
Belgium,BEL,2021-05-15,5375860.0,88609.0
Belgium,BEL,2021-05-16,5382252.0,6392.0
Belgium,BEL,2021-05-17,5491836.0,109584.0
Belgium,BEL,2021-05-18,5626021.0,134185.0
Belgium,BEL,2021-05-19,5768430.0,142409.0
Belgium,BEL,2021-05-20,5916368.0,147938.0
Belgium,BEL,2021-05-21,6045740.0,129372.0
Belgium,BEL,2021-05-22,6135402.0,89662.0
Belgium,BEL,2021-05-23,6145352.0,9950.0
Belgium,BEL,2021-05-24,6208017.0,62665.0
Belgium,BEL,2021-05-25,6308866.0,100849.0
Belgium,BEL,2021-05-26,6432476.0,123610.0
Belgium,BEL,2021-05-27,6573446.0,140970.0
Belgium,BEL,2021-05-28,6686781.0,113335.0
Belgium,BEL,2021-05-29,6778479.0,91698.0
Belgium,BEL,2021-05-30,6790326.0,11847.0
Belgium,BEL,2021-05-31,6911556.0,121230.0
Belgium,BEL,2021-06-01,7015765.0,104209.0
Belgium,BEL,2021-06-02,7185082.0,169317.0
Belgium,BEL,2021-06-03,7373136.0,188054.0
Belgium,BEL,2021-06-04,7527234.0,154098.0
Belgium,BEL,2021-06-05,7667035.0,139801.0
Belgium,BEL,2021-06-06,7698681.0,31646.0
Belgium,BEL,2021-06-07,7868229.0,169548.0
Belgium,BEL,2021-06-08,8018088.0,149859.0
Belgium,BEL,2021-06-09,8215829.0,197741.0
Belgium,BEL,2021-06-10,8412001.0,196172.0
Belgium,BEL,2021-06-11,8608833.0,196832.0
Belgium,BEL,2021-06-12,8752745.0,143912.0
Belgium,BEL,2021-06-13,8777101.0,24356.0
